image_name	condition	sister_chromatid_peak_to_peak_distance	radial_displacement	figure_panel
Scc1_EdU_Hoechst_220530_5517_WT_hemi_15h_G2_prophase_rep1+2_stlc-01-65.czi #07.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.611111111111111	0.0416666666666666	fig3a, d, e
Scc1_EdU_Hoechst_220530_5517_WT_hemi_15h_G2_prophase_rep1+2_stlc-01-65.czi #07.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.4742727272727272	-0.0769090909090909	fig3a, d, e
Scc1_EdU_Hoechst_220530_5517_WT_hemi_15h_G2_prophase_rep1+2_stlc-01-65.czi #07.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.6388888888888888	0.0694444444444444	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #5.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.4861111111111111	-0.0416666666666666	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #3.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.5383636363636363	-0.0797575757575758	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #3.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.4741818181818182	-0.0658585858585859	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #3.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.8331818181818184	0.1068181818181818	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #3.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.6154343434343434	-0.0961616161616161	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #3.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.3675151515151516	-0.0306262626262626	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #3.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.6105555555555557	0.0348888888888889	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #3.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.611	0.2193333333333333	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #4.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.5484040404040403	-0.0391717171717171	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #4.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.4005050505050505	-0.1441818181818182	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #4.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.4884444444444445	0.0174444444444444	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #2.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.4485656565656567	-0.1441818181818182	fig3a, d, e
